,year,month,R1,temp_mean,temp_max,temp_min,country_code
1921,2004,1,95.25,6.191666666666666,11.174999999999999,1.4916666666666665,IRN
1922,2004,2,21.82608695652174,8.28695652173913,14.556521739130435,1.682608695652174,IRN
1923,2004,3,36.85,12.434999999999999,19.490000000000002,5.525,IRN
1924,2004,4,53.92307692307692,15.096153846153847,21.11923076923077,8.565384615384614,IRN
1925,2004,5,33.95652173913044,21.208695652173912,27.48695652173913,13.834782608695651,IRN
1926,2004,6,5.8,26.944000000000003,34.188,17.86,IRN
1927,2004,7,13.851851851851851,28.185185185185187,35.13703703703704,19.76666666666667,IRN
1928,2004,8,4.962962962962963,28.67037037037037,36.492592592592594,19.725925925925928,IRN
1929,2004,9,16.82608695652174,23.786956521739132,32.01304347826087,15.030434782608696,IRN
1930,2004,10,14.16,18.676000000000002,26.588,10.54,IRN
1931,2004,11,60.958333333333336,12.116666666666667,17.55,6.258333333333333,IRN
1932,2004,12,72.5,3.8166666666666664,8.704166666666667,-1.1708333333333334,IRN
1933,2004,1,126.55555555555556,6.377777777777777,8.955555555555556,3.755555555555555,IRL
1934,2004,2,56.111111111111114,5.977777777777778,8.988888888888889,2.911111111111111,IRL
1935,2004,3,86.0,7.2444444444444445,10.477777777777778,3.9777777777777774,IRL
1936,2004,4,63.77777777777778,8.944444444444445,12.133333333333333,5.699999999999999,IRL
1937,2004,5,40.333333333333336,11.288888888888888,15.02222222222222,7.51111111111111,IRL
1938,2004,6,78.66666666666667,14.2,17.72222222222222,10.600000000000001,IRL
1939,2004,7,68.0,14.277777777777779,17.65555555555555,10.855555555555556,IRL
1940,2004,8,104.66666666666667,15.655555555555557,18.966666666666665,12.288888888888888,IRL
1941,2004,9,106.55555555555556,14.033333333333333,16.855555555555554,11.155555555555557,IRL
1942,2004,10,160.22222222222223,9.511111111111111,12.355555555555556,6.633333333333334,IRL
1943,2004,11,59.6,9.433333333333334,11.383333333333333,7.433333333333334,IRL
1944,2004,12,97.77777777777777,7.6625000000000005,9.9875,5.275,IRL
1945,2004,1,172.66666666666666,14.466666666666667,19.0,10.333333333333334,ISR
1946,2004,2,67.33333333333333,15.033333333333333,20.400000000000002,10.566666666666666,ISR
1947,2004,3,3346.6666666666665,18.7,24.46666666666667,13.533333333333333,ISR
1948,2004,4,3.0,20.933333333333334,26.53333333333333,15.833333333333334,ISR
1949,2004,5,3333.0,24.099999999999998,30.066666666666663,18.933333333333334,ISR
1950,2004,6,0.0,27.433333333333337,32.333333333333336,22.166666666666668,ISR
1951,2004,7,0.0,29.866666666666664,35.166666666666664,24.566666666666666,ISR
1952,2004,8,0.0,29.433333333333334,34.26666666666667,24.900000000000002,ISR
1953,2004,9,0.0,27.833333333333332,32.800000000000004,22.900000000000002,ISR
1954,2004,10,3333.6666666666665,25.633333333333336,31.0,20.833333333333332,ISR
1955,2004,11,27.333333333333332,20.333333333333332,25.933333333333334,16.166666666666668,ISR
1956,2004,12,58.333333333333336,14.433333333333332,19.900000000000002,9.866666666666667,ISR
1957,2004,1,51.89473684210526,5.41,9.2,1.6523809523809523,ITA
1958,2004,2,438.3076923076923,7.050000000000001,11.21923076923077,3.369230769230769,ITA
1959,2004,3,588.3157894736842,9.044444444444444,13.489473684210527,4.936842105263158,ITA
1960,2004,4,503.5652173913044,10.954166666666666,15.029166666666667,7.375,ITA
1961,2004,5,950.7727272727273,15.004545454545456,19.645454545454545,10.313636363636364,ITA
1962,2004,6,1839.909090909091,19.639130434782608,25.60909090909091,14.582608695652175,ITA
1963,2004,7,1926.095238095238,23.295238095238094,28.44285714285714,18.10952380952381,ITA
1964,2004,8,2977.1481481481483,23.157142857142855,28.15357142857143,18.660714285714285,ITA
1965,2004,9,715.6666666666666,19.43,24.4,15.326666666666666,ITA
1966,2004,10,74.96428571428571,16.903333333333332,20.88,13.68,ITA
1967,2004,11,445.6333333333333,9.86774193548387,13.609677419354838,6.490322580645161,ITA
1968,2004,12,461.7241379310345,8.051724137931034,11.36896551724138,5.2620689655172415,ITA
1969,2004,1,11.0,26.15,29.95,22.35,JAM
1970,2004,2,5.0,26.6,30.9,22.6,JAM
1971,2004,3,23.0,26.65,30.5,23.0,JAM
1972,2004,4,85.0,27.1,31.05,23.7,JAM
1973,2004,5,43.0,27.9,31.849999999999998,24.8,JAM
1974,2004,6,27.0,28.9,33.0,24.4,JAM
1975,2004,7,77.0,28.7,32.9,24.6,JAM
1976,2004,8,64.0,29.2,33.25,25.6,JAM
1977,2004,9,403.5,28.6,32.3,25.05,JAM
1978,2004,10,27.0,27.9,32.400000000000006,25.2,JAM
1979,2004,11,9.0,27.65,31.6,24.8,JAM
1980,2004,12,59.5,26.7,30.35,23.450000000000003,JAM
1981,2004,1,268.3076923076923,5.151851851851852,8.675925925925926,1.8388888888888888,JPN
1982,2004,2,84.66037735849056,6.742592592592593,10.8,2.809259259259259,JPN
1983,2004,3,94.73584905660377,8.533333333333333,12.712962962962964,4.544444444444444,JPN
1984,2004,4,95.39622641509433,13.403703703703703,18.057407407407407,8.95185185185185,JPN
1985,2004,5,208.37735849056602,17.762962962962963,21.87777777777778,14.175925925925926,JPN
1986,2004,6,171.60377358490567,21.098148148148148,25.14074074074074,17.70925925925926,JPN
1987,2004,7,101.05660377358491,24.76666666666667,28.77037037037037,21.62222222222222,JPN
1988,2004,8,230.88679245283018,24.75925925925926,28.614814814814817,21.68148148148148,JPN
1989,2004,9,255.0188679245283,22.477777777777778,26.15740740740741,19.453703703703702,JPN
1990,2004,10,302.1698113207547,17.18148148148148,20.85185185185185,13.794444444444444,JPN
1991,2004,11,99.39622641509433,13.692592592592591,17.651851851851852,10.133333333333335,JPN
1992,2004,12,137.39622641509433,8.774074074074074,12.5,5.242592592592593,JPN
1993,2004,1,19.0,8.4,12.575,2.425,JOR
1994,2004,2,15.25,9.5,17.5,5.5,JOR
