country_code,year,co2,co2_per_capita,population
SDN,1991,4800.0,0.0002221021770237,21611674.70000892
SDN,1992,4530.0,0.0002046767193569,22132463.400006544
SDN,1993,3210.0,0.0001417015087206,22653252.100013405
SDN,1994,4700.0,0.000202813140814,23174040.800001077
SDN,1995,4510.0,0.0001903368834116,23694829.500003994
SDN,1996,4310.0,0.0001779843060128,24215618.200011637
SDN,1997,5240.0,0.0002118335141066,24736406.90001063
SDN,1998,4770.0,0.0001888570716853,25257195.600006126
SDN,1999,5310.0,0.0002059897289952,25777984.30000233
SDN,2000,5690.0,0.0002163599039392,26298773.000005424
SDN,2001,6250.0,0.0002311143605995,27042889.000007562
SDN,2002,7710.00003814697,0.0002774678321088,27787005.000002105
SDN,2003,7929.99982833862,0.0002779421049855,28531121.000009414
SDN,2004,8829.99992370605,0.0003016201004181,29275237.000007868
SDN,2005,10500.0,0.00034977436056,30019353.000000235
SDN,2006,12899.9996185303,0.0004193285100106,30763469.000007197
SDN,2007,13960.000038147,0.0004430679164444,31507585.0000049
SDN,2008,14949.9998092651,0.0004635414364428,32251701.000003044
SDN,2009,15479.9995422363,0.000469150363582,32995817.00000248
SDN,2010,16420.0000762939,0.0004866636835435,33739933.000006184
SDN,2011,15920.0000762939,0.0004597677005305,34626182.0000072
SDN,2012,15800.0001907349,0.0004449146325897,35512431.000006355
SDN,2013,15220.0002670288,0.0004181470390417,36398680.00000587
SDN,2014,16120.0008392334,0.0004323462930352,37284929.000006415
SDN,2015,18709.9990844727,0.0004901603792388,38171178.00000196
SDN,2016,21129.9991607666,0.0005359537840709,39425039.60000283
SDN,2017,20959.9990844727,0.0005152547995684,40678901.20000767
SDN,2018,20860.0006103516,0.0004974630627093,41932762.80000201
SDN,2019,20620.0008392334,0.0004774626664091,43186624.4000023
SDN,2020,20620.0008392334,0.0004639913442717992,44440486.00000286
SDN,2021,21777.62156779481,0.00047659333619184263,45694347.60000229
SDN,2022,22356.431925331453,0.00047619349718095507,46948209.20000076
SDN,2023,22935.242282868094,0.00047581445988141135,48202070.800001144
SDN,2024,23514.052640404738,0.000475454642129135,49455932.400000095
SDN,2025,24092.862997941378,0.0004751126182437579,50709793.99999952
SEN,1970,1309.119,0.0002997242970283,4367744.0000014175
SEN,1971,1353.123,0.0003006033847796,4501356.500001153
SEN,1972,1455.799,0.0003140903423518,4634969.000000063
SEN,1973,1551.141,0.0003252835250902,4768581.500000266
SEN,1974,1851.835,0.000377756367863,4902194.000000552
SEN,1975,2581.568,0.0005126424138814,5035806.500000695
SEN,1976,1774.828,0.0003433322003884,5169419.000001158
SEN,1977,2244.204,0.000423192658765,5303031.500001073
SEN,1978,2629.239,0.0004836143400229,5436644.0000011185
SEN,1979,2900.597,0.0005207295211629,5570256.500000901
SEN,1980,3351.638,0.0005876078149761,5703869.000000148
SEN,1981,3296.633,0.0005599774027276,5887082.200000204
SEN,1982,3054.611,0.0005032063184272,6070295.400000859
SEN,1983,2632.906,0.000421028604646,6253508.600000568
SEN,1984,3307.634,0.0005138693426209,6436721.800000747
SEN,1985,2676.91,0.0004043710398969,6619935.000000285
SEN,1986,2662.242,0.000391325004503,6803148.200001083
SEN,1987,2453.223,0.0003511445886552,6986361.4000012325
SEN,1988,2742.916,0.0003825772312906,7169574.60000154
SEN,1989,3696.336,0.0005027121821739,7352787.800000737
SEN,1990,2330.0,0.0003091825492061,7536001.00000091
SEN,1991,2330.0,0.0003005354328953,7752829.600001679
SEN,1992,2570.0,0.0003224730516046,7969658.200001168
SEN,1993,2510.0,0.000306602827479,8186486.800001596
SEN,1994,2610.0,0.000310591698129,8403315.400001362
SEN,1995,2760.0,0.0003201802661301,8620144.000000672
SEN,1996,2930.0,0.0003315615123668,8836972.600000082
SEN,1997,3210.0,0.0003545472149311,9053801.20000042
SEN,1998,3600.0,0.0003883231320486,9270629.800002353
SEN,1999,3960.0,0.0004173931344984,9487458.400001977
SEN,2000,4060.0,0.0004183717979486,9704287.000001851
SEN,2001,4460.0,0.0004465863500141,9986870.400000324
SEN,2002,4579.99992370605,0.0004459828159221,10269453.800000314
SEN,2003,4489.99977111816,0.0004255102295429,10552037.20000221
SEN,2004,5389.9998664856,0.0004974793364232,10834620.60000094
SEN,2005,5670.00007629395,0.0005100203321171,11117204.000000779
SEN,2006,5570.00017166138,0.0004886056183522,11399787.40000156
SEN,2007,6199.99980926514,0.0005307141774052,11682370.800001154
SEN,2008,6440.00005722046,0.0005382385882614,11964954.20000028
SEN,2009,6670.00007629395,0.0005445992732689,12247537.600000774
SEN,2010,7030.00020980835,0.0005610480704702,12530121.000000387
SEN,2011,7570.00017166138,0.0005870340976585,12895333.000000853
SEN,2012,7449.99980926514,0.0005618170150069,13260545.000000833
SEN,2013,8010.00022888184,0.0005878572639216,13625757.000002129
SEN,2014,8569.99969482422,0.0006125379660854,13990969.000000553
SEN,2015,9289.99996185303,0.0006471080269782,14356181.00000171
SEN,2016,10130.0001144409,0.0006857490182207,14772168.60000036
SEN,2017,9800.00019073486,0.0006452396236703,15188156.200001745
