country_code,year,value,co2_per_capita
KEN,2017,18979.9995422363,0.0003880977417404926
KEN,2018,17489.9997711182,0.00035027592793558345
KEN,2019,22280.0006866455,0.00043721491717449337
KGZ,1990,22760.0,0.0051789255049338595
KGZ,1991,20420.0,0.004590023671215121
KGZ,1992,13800.0,0.0030647436421893147
KGZ,1993,10110.0,0.00221862891629699
KGZ,1994,6550.0,0.0014205428980966286
KGZ,1995,4600.0,0.0009860753301530261
KGZ,1996,5770.0,0.0012227159517684543
KGZ,1997,5690.0,0.001192110466277353
KGZ,1998,6040.0,0.0012512708478503538
KGZ,1999,4790.0,0.0009813286952884668
KGZ,2000,4670.0,0.000946267027234254
KGZ,2001,3970.0,0.0007955846136100038
KGZ,2002,4969.99979019165,0.000985153203459012
KGZ,2003,5590.00015258789,0.00109613012985708
KGZ,2004,5559.99994277954,0.0010786442525642325
KGZ,2005,5300.00019073486,0.001017376441696243
KGZ,2006,5320.00017166138,0.0010105735954112855
KGZ,2007,6469.99979019165,0.0012163491068296801
KGZ,2008,7510.00022888184,0.0013974548809807326
KGZ,2009,6760.00022888184,0.0012451844388646216
KGZ,2010,6349.99990463257,0.0011579616345663716
KGZ,2011,7619.99988555908,0.001368039334176158
KGZ,2012,10060.0004196167,0.0017785615976702715
KGZ,2013,9380.00011444092,0.0016334356177076887
KGZ,2014,9710.00003814697,0.0016658835421046782
KGZ,2015,10270.0004577637,0.0017362696843884003
KGZ,2016,9699.99980926514,0.0016121100595312603
KGZ,2017,9430.00030517578,0.0015411172529649231
KGZ,2018,11250.0,0.0018084152360575041
KGZ,2019,10050.0001907349,0.0015894617691488702
KHM,1970,1173.44,0.00017491773526967554
KHM,1971,249.356,3.7454515675723284e-05
KHM,1972,117.344,1.7761600583221794e-05
KHM,1973,128.345,1.957775326560799e-05
KHM,1974,73.34,1.1274926712207696e-05
KHM,1975,73.34,1.1363949782932135e-05
KHM,1976,73.34,1.1454389834774097e-05
KHM,1977,73.34,1.1546280970293155e-05
KHM,1978,51.338,8.147760876660853e-06
KHM,1979,29.336,4.693823385390997e-06
KHM,1980,286.026,4.61409730246643e-05
KHM,1981,300.694,4.6474082284321374e-05
KHM,1982,337.364,5.0044139665758475e-05
KHM,1983,366.7,5.229223295492456e-05
KHM,1984,410.704,5.6386737364448334e-05
KHM,1985,418.038,5.5333480655260934e-05
KHM,1986,432.706,5.5290342210655864e-05
KHM,1987,436.373,5.3891484412374745e-05
KHM,1988,451.041,5.38978706922876e-05
KHM,1989,451.041,5.2206096814570535e-05
KHM,1990,1260.0,0.00014140131848873862
KHM,1991,1300.0,0.00014082048710174788
KHM,1992,1350.0,0.00014132552412454962
KHM,1993,1380.0,0.00013977205952276207
KHM,1994,1480.0,0.0001451831393091472
KHM,1995,1470.0,0.00013980261867423466
KHM,1996,1530.0,0.00014120086332238173
KHM,1997,1640.0,0.0001470004148548903
KHM,1998,1880.0,0.00016380252720115223
KHM,1999,1910.0,0.00016189132875884946
KHM,2000,1960.0,0.00016173163753860622
KHM,2001,2150.0,0.00017418342264608584
KHM,2002,2210.00003814697,0.00017584650422144353
KHM,2003,2380.00011444092,0.00018605018122114778
KHM,2004,2380.00011444092,0.00018284180575672018
KHM,2005,2660.00008583069,0.000200888348323671
KHM,2006,2960.00003814697,0.00021981848682859302
KHM,2007,3660.00008583069,0.00026734600056862085
KHM,2008,4059.99994277954,0.0002917799830261333
KHM,2009,4750.0,0.00033594871411173934
KHM,2010,5139.9998664856,0.0003578506920502283
KHM,2011,5360.0001335144,0.00036776991189031797
KHM,2012,5670.00007629395,0.00038349346200429007
KHM,2013,5739.99977111816,0.00038277059659108767
KHM,2014,6949.99980926514,0.00045703462781578974
KHM,2015,8430.00030517578,0.0005467804591681672
KHM,2016,11069.9996948242,0.000709006782718006
KHM,2017,12689.9995803833,0.0008026942024048277
KHM,2018,14579.9999237061,0.0009109581925486032
KHM,2019,16180.0003051758,0.0009987042587239871
KIR,1970,22.002,0.0003830631822692689
KIR,1971,29.336,0.0005077663886898394
KIR,1972,25.669,0.00044171447647826104
KIR,1973,36.67,0.000627375970490917
KIR,1974,33.003,0.0005613958093060757
KIR,1975,33.003,0.0005581902748414377
KIR,1976,33.003,0.0005550211393380041
KIR,1977,22.002,0.0003679251908856492
KIR,1978,22.002,0.0003658597421255849
KIR,1979,25.669,0.00042445357947198367
KIR,1980,29.336,0.00048239685593540855
KIR,1981,29.336,0.000471305714115876
KIR,1982,25.669,0.00040312397919441167
KIR,1983,22.002,0.00033793964639366694
KIR,1984,22.002,0.0003306711714013472
KIR,1985,22.002,0.0003237087768598689
KIR,1986,18.335,0.0002641946063089701
KIR,1987,22.002,0.0003106280186416342
KIR,1988,22.002,0.000304476223952351
KIR,1989,22.002,0.0002985633622777771
KIR,1990,20.0,0.0002662265055108887
KIR,1991,20.0,0.0002614577314358474
KIR,1992,20.0,0.00025685679206415257
KIR,1993,30.0,0.0003786224704863784
KIR,1994,30.0,0.0003721862717853031
KIR,1995,30.0,0.00036596523330283625
KIR,1996,30.0,0.00035994874329895425
KIR,1997,30.0,0.00035412687657734014
KIR,1998,30.0,0.0003484903398477794
KIR,1999,30.0,0.00034303042222471236
KIR,2000,30.0,0.00033773895030734245
KIR,2001,30.0,0.0003306043778631717
